calidad_id,calidad
1,negro
2,mulato
3,Blanco
4,Prieto
5,Casta Popu
7,Testing
8,Color Cocho
9,China
10,Chino
11,Casta Malagasea
12,Muleque
13,Español
14,Gobernador
15,Nación Ingles
16,Sambo
17,Mulata Libre
18,Mulato Libre
19,Negra
20,Fraile Administrador Del Convento
21,Mulato Color Cocho
22,Mulata Blanca
23,Mulata
24,Mulato Blanco
25,Color Enserado
26,Moro
27,Morisco
28,Mulato Achinado
29,Mulato Morisco Blanco
30,Mestizo
31,Mulato Morisco
32,Amulatado
33,Mulatillo
34,Cafre De Pasa
35,Negrito
36,Membrillo Cocho
37,Amestizado
38,Mulato Prieto
39,Mulato Atezado
40,Atezado
41,Berberisco
42,Albino
43,Negro Color Membrillo Cocho
44,Achinado
45,Negrillo
46,Alobado
47,Morisco Blanco
48,Anegrado
49,Escribano Real Público Del Cabildo
50,Pasudo
51,Negro Libre
52,Pardo
53,Pardo Libre
54,Portugues
55,Color Morena
56,Rubio
57,De Color Mulata
58,Criollo
59,Mulatilla
60,Blanca
61,Prieta
62,Color Membrillo
63,Color Claro
