documento_idno,archivo_idno,archivo_nombre,archivo_nombre_abreviado,archivo_ubicacion_lugar_id,fondo,subfondo,serie,subserie,tipo_udc,unidad_documental_compuesta,tipo_documento,sigla_documento,resumen,deteriorado,fecha_inicial,fecha_inicial_raw,fecha_inicial_aproximada,fecha_final,fecha_final_raw,fecha_final_aproximada,folio_inicial,folio_final,evento_valor_sp,evento_forma_de_pago,evento_total,notas
mx-sv-doc-003366,mx-sv-doc-000007,Archivo de Instrumentos Públicos del Estado de Jalisco,AIPJ,86,Escribanos,Miguel Tomás de Ascoide,,,vol,4,Carta de compra/venta,,"Diego, mulato de 17 años, fue vendido en Guadalajara por 300 pesos",False,1685-01-01,1685,False,1685-01-01,1685,False,80r,80v,300,Pesos de oro común,300,
mx-sv-doc-003365,mx-sv-doc-000007,Archivo de Instrumentos Públicos del Estado de Jalisco,AIPJ,86,Escribanos,Miguel Tomás de Ascoide,,,vol,4,Carta de compra/venta,,"María de la Rosa, mulata, fue vendida en Guadalajara por 275 pesos",False,1685-01-01,1685,False,1685-01-01,1685,False,79r,80r,275,Pesos de oro común,275,
mx-sv-doc-003364,mx-sv-doc-000007,Archivo de Instrumentos Públicos del Estado de Jalisco,AIPJ,86,Escribanos,Miguel Tomás de Ascoide,,,vol,4,Carta de compra/venta,,"Miguel Gerónimo, negro criollo de 22 años, fue vendido en Guadalajara por 400 pesos",False,1685-01-01,1685,False,1685-01-01,1685,False,37r,37v,400,Pesos de oro común,400,
mx-sv-doc-003363,mx-sv-doc-000007,Archivo de Instrumentos Públicos del Estado de Jalisco,AIPJ,86,Escribanos,Miguel Tomás de Ascoide,,,vol,4,Carta de compra/venta,,"Isabel, negra de 33 años, fue vendida en Guadalajara por 450 pesos",False,1685-01-01,1685,False,1685-01-01,1685,False,33r,34v,450,Pesos de oro común,450,
mx-sv-doc-003362,mx-sv-doc-000007,Archivo de Instrumentos Públicos del Estado de Jalisco,AIPJ,86,Escribanos,Miguel Tomás de Ascoide,,,vol,4,Carta de compra/venta,,"Manuel, mulato de 23 años, fue vendido en Guadalajara por 370 pesos",False,1685-01-01,1685,False,1685-01-01,1685,False,30v,31v,370,Pesos de oro común,370,
mx-sv-doc-003361,mx-sv-doc-000007,Archivo de Instrumentos Públicos del Estado de Jalisco,AIPJ,86,Escribanos,Miguel Tomás de Ascoide,,,vol,4,Carta de compra/venta,,"Antonio, negro de 18 años, fue vendido en Guadalajara por 400 pesos",False,1685-01-01,1685,False,1685-01-01,1685,False,29v,30v,400,Pesos de oro común,400,
mx-sv-doc-003360,mx-sv-doc-000007,Archivo de Instrumentos Públicos del Estado de Jalisco,AIPJ,86,Escribanos,Miguel Tomás de Ascoide,,,vol,4,Carta de compra/venta,,"Josefa, mulata de 43 años, fue vendida en Guadalajara por 400 pesos",False,1685-01-01,1685,False,1685-01-01,1685,False,19r,20r,400,Pesos de oro común,400,
mx-sv-doc-003359,mx-sv-doc-000007,Archivo de Instrumentos Públicos del Estado de Jalisco,AIPJ,86,Escribanos,Miguel Tomás de Ascoide,,,vol,4,Carta de compra/venta,,"Pascuala, mulata prieta de 13 años, fue vendida en Guadalajara por 250 pesos",False,1685-01-01,1685,False,1685-01-01,1685,False,182v,183r,250,Pesos de oro común,250,
mx-sv-doc-003358,mx-sv-doc-000007,Archivo de Instrumentos Públicos del Estado de Jalisco,AIPJ,86,Escribanos,Miguel Tomás de Ascoide,,,vol,4,Carta de compra/venta,,"Santiago, negro criollo de 18 años, fue vendido en Guadalajara por 200 pesos",False,1685-01-01,1685,False,1685-01-01,1685,False,180v,181r,200,Pesos de oro común,200,
mx-sv-doc-003357,mx-sv-doc-000007,Archivo de Instrumentos Públicos del Estado de Jalisco,AIPJ,86,Escribanos,Miguel Tomás de Ascoide,,,vol,4,Carta de compra/venta,,"Tomás, mulato de 12 años, fue vendido en Guadalajara por 200 pesos",False,1685-01-01,1685,False,1685-01-01,1685,False,172r,173v,200,Pesos de oro común,200,
