lugar_id,nombre_lugar,otros_nombres,tipo,es_parte_de_lugar_id,lat,lon
363,Barbados,,isla,,,
151,Colima,,villa,,19.179530,-103.680110
355,Tecolotlán,,villa,,20.100000,-103.833333
360,Amula,,villa,,19.817000,-104.083000
362,Tabasco,,estado,,18.000000,-92.666670
5,Ulapa del Marquesado de Oaxaca,,pueblo,,,
6,Nejapa,,pueblo,,16.605710,-95.978550
7,Zimatlan,,pueblo,,16.869390,-96.784350
8,Merida de Yucatan,,ciudad,,20.975370,-89.616960
9,Guatemala,,region,,17.812500,-89.148611
10,Cuicatlán,,pueblo,,18.227780,-98.285000
11,Teococuilco,,pueblo,,17.352700,-96.615280
12,Chalcatongo,,pueblo,,17.032470,-97.570570
13,Miahuatlán,,pueblo,,18.549830,-97.439530
14,Villa Alta de San Ildefonso,,pueblo,,,
15,Villa del Marquesado del Valle,,villa,,23.850000,-104.233333
16,San Juan Bautista,,pueblo,,18.088300,-96.125350
17,Cádiz,,ciudad,,36.528429,-6.293573
18,Tehuacán,,ciudad,,18.464220,-97.397350
19,Lisboa,,ciudad,,19.694030,-101.145390
20,"Amatlan, Veracruz",,pueblo,,21.335190,-97.757040
21,Puebla,,estado,,19.051389,-98.217778
22,Puebla,,ciudad,,19.051389,-98.217778
23,Cholula,,ciudad,,19.061400,-98.306100
24,Mexico,,ciudad,,19.419444,-99.145556
25,Cabo Verde,,region,,19.172500,-96.299167
26,Carrión,,ciudad,,21.737210,-101.518460
27,Atlixco,,ciudad,,18.908150,-98.436130
28,Tlaxcala,,ciudad,,19.428900,-98.160800
29,Sevilla,,ciudad,,23.007360,-101.256910
30,Acatzingo,,ciudad,,18.981960,-97.783630
31,Tlalixcoyan,,pueblo,,18.802220,-96.060560
32,Villa de Torres Novas,,villa,,39.491600,-8.547960
33,"Torres Novas, Portugal",,villa,,39.491600,-8.547960
34,"Xalapa, Veracruz",,ciudad,,19.531240,-96.915890
35,Tlacolula,,ciudad,,16.955080,-96.469180
36,Tlaxisco,,ciudad,,18.900240,-98.572090
37,Castilla,,provincia,,19.458330,-101.301110
38,Tepeaca,,ciudad,,18.986860,-97.884120
39,Huejotzingo,,ciudad,,19.159450,-98.407340
40,Huamantla,,ciudad,,19.314510,-97.925200
41,México,,ciudad,,19.419444,-99.145556
43,Santiago de Guatemala,,ciudad,,14.640720,-90.513270
45,Panama,,pais,,18.594444,-95.907778
46,Panama,,gobernacion,,18.594444,-95.907778
59,Aguascalientes,,ciudad,,21.880833,-102.296111
62,Villa de Nuestra Señora de la Asunción de las Aguascalientes,,villa,,,
63,Calpan,,ciudad,,19.478570,-99.233670
64,Sao Tomé,,ciudad,,-23.547500,-46.636110
65,Nueva España,,region,,20.666667,-89.450000
68,Tecamachalco,,ciudad,,18.861020,-97.746430
69,Islas Canarias,,region,,28.000000,-15.500000
70,Cartagena de Indias,,ciudad,,10.423611,-75.525278
71,Terrenate,,ciudad,,19.484750,-97.914640
72,Brasil,,estado,,19.415300,-99.213900
73,Tlalnepantla,,ciudad,,19.540050,-99.195380
74,Chiapa de la Real Corona,,ciudad,,,
76,"Cordoba, España",,ciudad,,37.891550,-4.772750
77,"Taboga, Panama",,isla,,8.783330,-79.558330
78,Ixtepec,,ciudad,,16.449340,-95.093700
79,Tustepeque,,pueblo,,,
80,Coatlán,,pueblo,,18.744230,-99.433240
81,Ejutla,,pueblo,,16.566230,-96.731230
364,Hacienda de Santa Catarina mártir,,region,,,
96,Colima ciudad (antes Villa de Colima),,ciudad,,19.179530,-103.680110
356,Tierra Noba,,region,,,
361,Caracas,,ciudad,,10.488010,-66.879190
283,Zibu,Cebu,ciudad,157,10.293000,123.902000
82,Juquila,,pueblo,,16.238190,-97.291610
83,Teposcolula,,pueblo,,17.511250,-97.487910
84,Tejupa,,pueblo,,18.855190,-98.541240
85,Mixtepec,,pueblo,,16.095930,-97.082370
86,Guadalajara,,ciudad,,20.676667,-103.347500
87,Sosola,,pueblo,,17.379470,-97.026760
88,Neap,,villa,,17.265650,-96.066380
89,Nejapa,,villa,,16.563170,-95.993050
