persona_idno,nombres,apellidos,nombre_normalizado,sexo,honorifico,calidades,ocupaciones,ocupacion_categoria,estado_matrimonial,entidad_asociada,fecha_nacimiento_factual,documentos,notas
mx-sv-per-008226, Diego , de  Ayllon ,Diego de Ayllon,v,nan,,Minero,,,,False,mx-sv-doc-002949,minero de las minas de Izatlán [Etzatlán]
mx-sv-per-008401, Juana , de  Guido  y  Oyarvide , Juana  de  Guido  y  Oyarvide ,m,nan,,,,Viuda,,False,mx-sv-doc-003033|mx-sv-doc-003025,
mx-sv-per-008574, Diego , Franco  de  Ortega , Diego  Franco  de  Ortega ,v,nan,,mercader,comercio,,,False,mx-sv-doc-003139|mx-sv-doc-003114,
mx-sv-per-004349, Salvador , de  Villavicencio , Salvador  de  Villavicencio ,v,nan,,Minero,Minería,,,False,mx-sv-doc-001737,
mx-sv-per-004353, Antonia , Enríquez  Topete , Antonia  Enríquez  Topete ,m,dna,,,,Viuda,,False,mx-sv-doc-002746|mx-sv-doc-001739,Viuda de Francisco Rico
mx-sv-per-008770, Andrés , Gómez ,Andrés Gómez,v,nan,,Boticario,,Casado,,False,mx-sv-doc-003239,
mx-sv-per-008227, Gaspar , de  Luz ,Gaspar de Luz,v,nan,,Escribano Real,,,,False,mx-sv-doc-002949,
mx-sv-per-008225, Lorenzo , López  de  Vergara ,Lorenzo López de Vergara,v,nan,,Canónigo|Provisor,,Soltero,Obispado de Guadalajara del Nuevo Reino de Galicia,False,mx-sv-doc-002949,
mx-sv-per-004370, Joseph , de  Aragon  Alcantara , Joseph  de  Aragon  Alcantara ,v,don,,Cura Beneficiado|Licenciado Presbítero,,,,False,mx-sv-doc-001756,
mx-sv-per-004371, Geronimo , Fernandez  Franco , Geronimo  Fernandez  Franco ,v,nan,,capitán,,,,False,mx-sv-doc-002915|mx-sv-doc-001756,
mx-sv-per-004372, Fernando , de  Villegas , Fernando  de  Villegas ,v,don,,Presbítero,,,,False,mx-sv-doc-001756,
mx-sv-per-004374, Maria , de  Escobar  Quiros , Maria  de  Escobar  Quiros ,m,dna,,,,Viuda,,False,mx-sv-doc-001756,viuda del capitan don Diego Peres de Luxan
mx-sv-per-008771, Polonia , Mexia ,Polonia Mejía,m,dna,,,,Casada,,False,mx-sv-doc-003239,
mx-sv-per-008403, Juana , de  Ayón , Juana  de  Ayón ,m,nan,,,,Viuda,,False,mx-sv-doc-003026,
mx-sv-per-008576, Antonio , de  Soto  Ceballos , Antonio  de  Soto  Ceballos ,v,nan,,Escribano,Oficial,,Real Audiencia de Guadalajara,False,mx-sv-doc-003377|mx-sv-doc-003376|mx-sv-doc-003115,
mx-sv-per-008679, Gonzalo , Casillas  y  Cabrera , Gonzalo  Casillas  y  Cabrera ,v,don,,Presbítero,Clero,,,False,mx-sv-doc-003184,
mx-sv-per-008772, Domingo , de  Perea ,Domingo de Perea,v,nan,,,,,,False,mx-sv-doc-003239,
mx-sv-per-008773, Francisco , de  Mar ,Francisco de Mar,v,nan,,Escribano Real|Escribano,,,,False,mx-sv-doc-003239,
mx-sv-per-008229, Juana , González ,Juana González,m,nan,,Albacea|Cuidadora De Sus Hijos,,Viuda,,False,mx-sv-doc-002950,
mx-sv-per-008404, Lorenzo , de  Mora , Lorenzo  de  Mora ,v,nan,,Dueño De Recua,Ganadería,,,False,mx-sv-doc-003026,
mx-sv-per-008680, Juliana , Chumacero , Juliana  Chumacero ,m,dna,,,,,,False,mx-sv-doc-003418|mx-sv-doc-003417|mx-sv-doc-003184,
mx-sv-per-008230, Francisco , de  Ayllon ,Francisco de Ayllon,v,nan,,,,,,False,mx-sv-doc-002951|mx-sv-doc-002950,Hijo de Juana González y Diego de Ayllon
mx-sv-per-008231, Joan , de  Ataum ,Juan de Ataum,v,nan,,Escribano Real,,,,False,mx-sv-doc-002950,
mx-sv-per-008578, Gerónimo , de  Isla  Solórzano , Gerónimo  de  Isla  Solórzano ,v,nan,,,,,,False,mx-sv-doc-003159|mx-sv-doc-003116,
mx-sv-per-008724, Francisco , [Tellodoria] ,Francisco [Tellodoria],v,nan,,Escribano Público|Escribano,,,,False,mx-sv-doc-003208,
mx-sv-per-004473, Andrés , Ruiz ,Andrés Ruiz,v,nan,,,,,,False,mx-sv-doc-001853,
mx-sv-per-004474, María , Arévalo ,María Arévalo,m,nan,,,,Viuda,,False,mx-sv-doc-001853,
mx-sv-per-004475, Antonio , de  Figueroa ,Antonio de Figueroa,v,nan,,,,,,False,mx-sv-doc-001853,
mx-sv-per-004476, Francisco , de  Nogales ,Francisco de Nogales,v,nan,,,,,,False,mx-sv-doc-001853,
mx-sv-per-004477, Andrés ," Bustillo,  de ",Andrés de Bustillo,v,nan,,,,,,False,mx-sv-doc-001854,
mx-sv-per-004478, Teresa ," Gasca  y  Ortega,  de  la ",Teresa de la Gasca y Ortega,m,dna,Español,,,Viuda,,False,mx-sv-doc-001854,"Doña Teresa de la Gasca y Ortega, vecina de Xalapa, es viuda del sargento, Manuel de Riveros."
mx-sv-per-004482, Manuel ," Riveros,  de ",Manuel de Riveros,v,nan,Español,,Sargento,Casado,,False,mx-sv-doc-001854,
mx-sv-per-004485, Juan , Preciado ,Juan Preciado,v,nan,,,,,,False,mx-sv-doc-001856,
mx-sv-per-004486, Juan , Segovia ,Juan de Segovia,v,nan,,,,,,False,mx-sv-doc-001856,
mx-sv-per-004487, Martín , Segura ,Martín de Segura,v,nan,,,,,,False,mx-sv-doc-001856,
mx-sv-per-004488, Pedro , Berrio ,Pedro Berrio,v,nan,,,,,,False,mx-sv-doc-001856,
mx-sv-per-004489, Pedro , Moreno ,Pedro Moreno,v,nan,,,,,,False,mx-sv-doc-001856,
mx-sv-per-008406, Gerónimo , Camacho  Riquelme , Gerónimo  Camacho  Riquelme ,v,nan,,,,,,False,mx-sv-doc-003027,
mx-sv-per-008580, Juan , Bautista  Panduro , Juan  Bautista  Panduro ,v,nan,,mercader,comercio,,,False,mx-sv-doc-003398|mx-sv-doc-003371|mx-sv-doc-003226|mx-sv-doc-003117,
mx-sv-per-008682, Agustín , de  Olarte , Agustín  de  Olarte ,v,nan,,,,,,False,mx-sv-doc-003185,
mx-sv-per-008725, Pedro , de  Mancilla ,Pedro de Mancilla,v,nan,,Escribano Real|Escribano,,,,False,mx-sv-doc-003209,
mx-sv-per-004514, Juan , Vega ,Juan de la Vega,v,nan,,,,,,False,mx-sv-doc-001879,
mx-sv-per-004515, Isabel , Grijalva ,Isabel de Grijalva,m,nan,,,,,,False,mx-sv-doc-001879,
mx-sv-per-004516, Rodrigo , Velasco ,Rodrigo de Velasco,v,nan,,,,,,False,mx-sv-doc-001879,
mx-sv-per-004517, García , Martínez ,García Martínez,v,nan,,,,,,False,mx-sv-doc-001879,
mx-sv-per-004519, Francisca , Castillo ,Francisca del Castillo,m,nan,,,,,,False,mx-sv-doc-001879,
mx-sv-per-004520, Joaquín , Jiménez ,Joaquín Jiménez,v,nan,,,,,,False,mx-sv-doc-001879,
mx-sv-per-004521, Juan , Monroy ,Juan de Monroy,v,nan,,,,,,False,mx-sv-doc-001879,
mx-sv-per-004522, Pedro , Ballestero ,Pedro Ballestero,v,nan,,,,,,False,mx-sv-doc-001879,
mx-sv-per-008233, Bernardino , de  Acosta ,Bernardino de Acosta,v,nan,,Rector,,,Compañía de Jesús de Guadalajara,False,mx-sv-doc-002951,Padre Bernardino de Acosta
mx-sv-per-004534, Geronimo , Maldonado , Geronimo  Maldonado ,v,nan,,Alférez,,,,False,mx-sv-doc-001890,
mx-sv-per-008234, Andrés , de  Acosta ,Andrés de Acosta,v,nan,,,,,,False,mx-sv-doc-002952,
mx-sv-per-008235, Juan , de  Alfaro  Peraza ,Juan de Alfaro Peraza,v,nan,,,,,,False,mx-sv-doc-002953|mx-sv-doc-002952,
mx-sv-per-008236, Manuel , del  Valle ,Manuel del Valle,v,nan,,,,,,False,mx-sv-doc-002952,
mx-sv-per-008408, María , Enríquez , María  Enríquez ,m,nan,,,,Casada,,False,mx-sv-doc-003038|mx-sv-doc-003028,
mx-sv-per-008684, José , López  Ramírez , José  López  Ramírez ,v,nan,,Escribano,Oficial,,,False,mx-sv-doc-003339|mx-sv-doc-003231|mx-sv-doc-003186,
mx-sv-per-008237, Melchor , Gutiérrez ,Melchor Gutiérrez,v,nan,,Escribano Real,,,,False,mx-sv-doc-002952,
