persona_idno_1,persona_idno_2,persona_relacion_id,documento_idno,naturaleza_relacion,persona_sujeto_idno,descripcion_relacion
mx-sv-per-008524,mx-sv-per-008525,1129,mx-sv-doc-003090,sub,mx-sv-per-008525,
mx-sv-per-008524,mx-sv-per-008526,1130,mx-sv-doc-003090,sub,mx-sv-per-008526,
mx-sv-per-008524,mx-sv-per-008527,1131,mx-sv-doc-003090,sub,mx-sv-per-008527,
mx-sv-per-008504,mx-sv-per-008505,1153,mx-sv-doc-003084,sub,mx-sv-per-008505,
mx-sv-per-008504,mx-sv-per-008506,1154,mx-sv-doc-003084,sub,mx-sv-per-008506,
mx-sv-per-003512,mx-sv-per-003513,362,mx-sv-doc-001190,fam,,Eran cuñados
mx-sv-per-003512,mx-sv-per-003510,5523,mx-sv-doc-001190,sub,mx-sv-per-003512,
mx-sv-per-003513,mx-sv-per-003510,5524,mx-sv-doc-001190,sub,mx-sv-per-003513,
mx-sv-per-003514,mx-sv-per-003510,5525,mx-sv-doc-001190,sub,mx-sv-per-003514,
mx-sv-per-008770,mx-sv-per-008771,9200,mx-sv-doc-003239,fam,,Son esposos
mx-sv-per-008528,mx-sv-per-008529,1127,mx-sv-doc-003091,sub,mx-sv-per-008529,
mx-sv-per-008528,mx-sv-per-008530,1128,mx-sv-doc-003091,sub,mx-sv-per-008530,
mx-sv-per-008507,mx-sv-per-008508,1151,mx-sv-doc-003085,sub,mx-sv-per-008508,
mx-sv-per-008507,mx-sv-per-008509,1152,mx-sv-doc-003085,sub,mx-sv-per-008509,
mx-sv-per-003288,mx-sv-per-002934,363,mx-sv-doc-001194,fam,,Estaban casados
mx-sv-per-003517,mx-sv-per-002934,5520,mx-sv-doc-001194,sub,mx-sv-per-002934,
mx-sv-per-003288,mx-sv-per-003517,5521,mx-sv-doc-001194,sub,mx-sv-per-003288,
mx-sv-per-003517,mx-sv-per-003518,5522,mx-sv-doc-001194,sub,mx-sv-per-003518,
mx-sv-per-003352,mx-sv-per-003519,5518,mx-sv-doc-001195,sub,mx-sv-per-003352,
mx-sv-per-003397,mx-sv-per-003519,5519,mx-sv-doc-001195,sub,mx-sv-per-003397,
mx-sv-per-003520,mx-sv-per-003521,364,mx-sv-doc-001196,fam,,Eran madre e hijo
mx-sv-per-003520,mx-sv-per-003522,5514,mx-sv-doc-001196,sub,mx-sv-per-003522,
mx-sv-per-003521,mx-sv-per-003522,5515,mx-sv-doc-001196,sub,mx-sv-per-003522,
mx-sv-per-003520,mx-sv-per-003523,5516,mx-sv-doc-001196,sub,mx-sv-per-003523,
mx-sv-per-003521,mx-sv-per-003523,5517,mx-sv-doc-001196,sub,mx-sv-per-003523,
mx-sv-per-003288,mx-sv-per-003524,5512,mx-sv-doc-001197,sub,mx-sv-per-003288,
mx-sv-per-003524,mx-sv-per-003525,5513,mx-sv-doc-001197,sub,mx-sv-per-003525,
mx-sv-per-008510,mx-sv-per-008511,910,mx-sv-doc-003086,fam,,Eran madre e hijo
mx-sv-per-008512,mx-sv-per-008510,1143,mx-sv-doc-003086,sub,mx-sv-per-008512,
mx-sv-per-008512,mx-sv-per-008511,1144,mx-sv-doc-003086,sub,mx-sv-per-008512,
mx-sv-per-008513,mx-sv-per-008510,1145,mx-sv-doc-003086,sub,mx-sv-per-008513,
mx-sv-per-008513,mx-sv-per-008511,1146,mx-sv-doc-003086,sub,mx-sv-per-008513,
mx-sv-per-006555,mx-sv-per-008510,1147,mx-sv-doc-003086,sub,mx-sv-per-006555,
mx-sv-per-006555,mx-sv-per-008511,1148,mx-sv-doc-003086,sub,mx-sv-per-006555,
mx-sv-per-008474,mx-sv-per-008510,1149,mx-sv-doc-003086,sub,mx-sv-per-008474,
mx-sv-per-008474,mx-sv-per-008511,1150,mx-sv-doc-003086,sub,mx-sv-per-008474,
mx-sv-per-008531,mx-sv-per-008532,1124,mx-sv-doc-003092,sub,mx-sv-per-008532,
mx-sv-per-008531,mx-sv-per-008533,1125,mx-sv-doc-003092,sub,mx-sv-per-008533,
mx-sv-per-007512,mx-sv-per-008531,1126,mx-sv-doc-003092,sub,mx-sv-per-007512,
mx-sv-per-008226,mx-sv-per-008229,876,mx-sv-doc-002950,fam,,"Francisco de Ayllon es hijo de Juana González y Diego de Ayllon, sucesor  y heredero"
mx-sv-per-008226,mx-sv-per-008230,876,mx-sv-doc-002950,fam,,"Francisco de Ayllon es hijo de Juana González y Diego de Ayllon, sucesor  y heredero"
