corporacion_idno,documento_idno,rol_evento
mx-sv-cor-000003,mx-sv-doc-000528,comprador
mx-sv-cor-000006,mx-sv-doc-000572,comprador
mx-sv-cor-000007,mx-sv-doc-000575,comprador
mx-sv-cor-000007,mx-sv-doc-000534,dueño anterior
mx-sv-cor-000003,mx-sv-doc-000585,comprador
mx-sv-cor-000003,mx-sv-doc-000593,comprador
mx-sv-cor-000008,mx-sv-doc-000653,comprador
mx-sv-cor-000002,mx-sv-doc-000201,otorgante
mx-sv-cor-000009,mx-sv-doc-000862,Recipiente De La Donación
mx-sv-cor-000010,mx-sv-doc-000946,comprador
mx-sv-cor-000011,mx-sv-doc-000036,comprador
mx-sv-cor-000012,mx-sv-doc-001048,Vendedor
mx-sv-cor-000013,mx-sv-doc-001130,Vendedor
mx-sv-cor-000014,mx-sv-doc-001158,Vendedor
mx-sv-cor-000014,mx-sv-doc-001229,Vendedor
mx-sv-cor-000014,mx-sv-doc-001267,Vendedor
mx-sv-cor-000015,mx-sv-doc-001279,Vendedor
mx-sv-cor-000010,mx-sv-doc-001427,Vendedor
mx-sv-cor-000010,mx-sv-doc-001428,Vendedor
mx-sv-cor-000012,mx-sv-doc-001485,Vendedor
mx-sv-cor-000016,mx-sv-doc-001487,Vendedor
mx-sv-cor-000017,mx-sv-doc-001492,Vendedor
mx-sv-cor-000022,mx-sv-doc-002427,Vendedor
mx-sv-cor-000026,mx-sv-doc-002729,Vendedor
mx-sv-cor-000027,mx-sv-doc-002765,comprador
mx-sv-cor-000004,mx-sv-doc-002780,dueño anterior
mx-sv-cor-000028,mx-sv-doc-002805,dueño del esclavizado
mx-sv-cor-000006,mx-sv-doc-002815,dueño del esclavizado
mx-sv-cor-000004,mx-sv-doc-002822,dueño del esclavizado
mx-sv-cor-000004,mx-sv-doc-002823,dueño del esclavizado
mx-sv-cor-000004,mx-sv-doc-000753,dueño del esclavizado
mx-sv-cor-000029,mx-sv-doc-002843,dueño del esclavizado
mx-sv-cor-000027,mx-sv-doc-002825,dueño anterior
mx-sv-cor-000029,mx-sv-doc-002860,dueño del esclavizado
mx-sv-cor-000008,mx-sv-doc-002924,comprador
mx-sv-cor-000008,mx-sv-doc-003030,comprador
mx-sv-cor-000008,mx-sv-doc-003049,comprador
mx-sv-cor-000015,mx-sv-doc-003165,comprador
mx-sv-cor-000009,mx-sv-doc-002866,Dueño
mx-sv-cor-000026,mx-sv-doc-003308,comprador
