persona_idno,documento_idno,rol_evento
mx-sv-per-008525,mx-sv-doc-003090,Vendedor
mx-sv-per-008526,mx-sv-doc-003090,intermediario
mx-sv-per-008527,mx-sv-doc-003090,comprador
mx-sv-per-008505,mx-sv-doc-003084,Vendedor
mx-sv-per-008506,mx-sv-doc-003084,comprador
mx-sv-per-003512,mx-sv-doc-001190,Vendedor
mx-sv-per-003513,mx-sv-doc-001190,intermediario
mx-sv-per-003514,mx-sv-doc-001190,comprador
mx-sv-per-008770,mx-sv-doc-003239,Vendedor
mx-sv-per-008771,mx-sv-doc-003239,Vendedor
mx-sv-per-008772,mx-sv-doc-003239,comprador
mx-sv-per-008529,mx-sv-doc-003091,Vendedor
mx-sv-per-008530,mx-sv-doc-003091,comprador
mx-sv-per-008508,mx-sv-doc-003085,Vendedor
mx-sv-per-008509,mx-sv-doc-003085,comprador
mx-sv-per-003288,mx-sv-doc-001194,Vendedor
mx-sv-per-002934,mx-sv-doc-001194,Vendedor
mx-sv-per-003518,mx-sv-doc-001194,comprador
mx-sv-per-003352,mx-sv-doc-001195,Vendedor
mx-sv-per-003397,mx-sv-doc-001195,comprador
mx-sv-per-003522,mx-sv-doc-001196,Vendedor
mx-sv-per-003523,mx-sv-doc-001196,comprador
mx-sv-per-003525,mx-sv-doc-001197,Vendedor
mx-sv-per-003288,mx-sv-doc-001197,comprador
mx-sv-per-008512,mx-sv-doc-003086,Dueño Difunto
mx-sv-per-008513,mx-sv-doc-003086,Albacea
mx-sv-per-006555,mx-sv-doc-003086,intermediario
mx-sv-per-008474,mx-sv-doc-003086,comprador
mx-sv-per-008532,mx-sv-doc-003092,Vendedor
mx-sv-per-008533,mx-sv-doc-003092,intermediario
mx-sv-per-007512,mx-sv-doc-003092,comprador
mx-sv-per-008229,mx-sv-doc-002950,Vendedora
mx-sv-per-008230,mx-sv-doc-002950,comprador
mx-sv-per-003528,mx-sv-doc-001198,Vendedor
mx-sv-per-003527,mx-sv-doc-001198,Vendedor
mx-sv-per-003288,mx-sv-doc-001198,comprador
mx-sv-per-003531,mx-sv-doc-001199,Vendedor
mx-sv-per-003532,mx-sv-doc-001199,intermediario
mx-sv-per-003533,mx-sv-doc-001199,comprador
mx-sv-per-002556,mx-sv-doc-001201,Vendedor
mx-sv-per-003464,mx-sv-doc-001201,comprador
mx-sv-per-008525,mx-sv-doc-003093,Vendedor
mx-sv-per-008526,mx-sv-doc-003093,intermediario
mx-sv-per-008535,mx-sv-doc-003093,comprador
mx-sv-per-008234,mx-sv-doc-002952,Otorgante Del Poder
mx-sv-per-008235,mx-sv-doc-002952,Apoderado
mx-sv-per-008236,mx-sv-doc-002952,Apoderado
mx-sv-per-008237,mx-sv-doc-002952,Escribano
mx-sv-per-008519,mx-sv-doc-003088,Dueño Difunto
mx-sv-per-008520,mx-sv-doc-003088,Albacea
mx-sv-per-008521,mx-sv-doc-003088,comprador
mx-sv-per-007514,mx-sv-doc-002720,Vendedor
mx-sv-per-007515,mx-sv-doc-002720,Vendedor
mx-sv-per-007516,mx-sv-doc-002720,intermediario
mx-sv-per-007517,mx-sv-doc-002720,comprador
mx-sv-per-008009,mx-sv-doc-002875,Apoderado
mx-sv-per-008008,mx-sv-doc-002875,otorgante
mx-sv-per-008523,mx-sv-doc-003089,Vendedor
mx-sv-per-007512,mx-sv-doc-003089,comprador
mx-sv-per-008225,mx-sv-doc-002949,Vendedor
mx-sv-per-008226,mx-sv-doc-002949,comprador
mx-sv-per-008438,mx-sv-doc-003087,Vendedor
mx-sv-per-008516,mx-sv-doc-003087,intermediario
mx-sv-per-008517,mx-sv-doc-003087,comprador
mx-sv-per-008142,mx-sv-doc-002916,otorgante
mx-sv-per-008143,mx-sv-doc-002916,dueño anterior
mx-sv-per-001364,mx-sv-doc-002913,otorgante
mx-sv-per-001375,mx-sv-doc-002913,dueño anterior
mx-sv-per-008133,mx-sv-doc-002913,comprador
mx-sv-per-008134,mx-sv-doc-002913,comprador
mx-sv-per-008580,mx-sv-doc-003226,Vendedor
mx-sv-per-008748,mx-sv-doc-003226,Vendedor
mx-sv-per-008650,mx-sv-doc-003226,comprador
mx-sv-per-008679,mx-sv-doc-003184,Vendedor
mx-sv-per-008680,mx-sv-doc-003184,comprador
mx-sv-per-007604,mx-sv-doc-002757,otorgante
mx-sv-per-007605,mx-sv-doc-002757,Apoderado
mx-sv-per-007813,mx-sv-doc-002818,otorgante
mx-sv-per-007814,mx-sv-doc-002818,Apoderado
mx-sv-per-007813,mx-sv-doc-002818,Albacea Testamentario
mx-sv-per-007815,mx-sv-doc-002818,dueño anterior
mx-sv-per-008111,mx-sv-doc-002906,otorgante
mx-sv-per-008091,mx-sv-doc-002900,otorgante
mx-sv-per-008092,mx-sv-doc-002900,otorgante
mx-sv-per-008093,mx-sv-doc-002900,comprador
mx-sv-per-001288,mx-sv-doc-002900,dueño anterior
mx-sv-per-008094,mx-sv-doc-002900,dueño anterior
mx-sv-per-008235,mx-sv-doc-002953,Vendedor (Con Poder)
mx-sv-per-008241,mx-sv-doc-002953,comprador
mx-sv-per-008242,mx-sv-doc-002953,Escribano
mx-sv-per-008509,mx-sv-doc-003185,Vendedor
mx-sv-per-008682,mx-sv-doc-003185,comprador
mx-sv-per-005320,mx-sv-doc-002263,Testigo
mx-sv-per-005318,mx-sv-doc-002263,Testigo
mx-sv-per-005319,mx-sv-doc-002263,Testigo
mx-sv-per-005315,mx-sv-doc-002263,Vendedor
mx-sv-per-005316,mx-sv-doc-002263,comprador
mx-sv-per-005317,mx-sv-doc-002263,comprador
mx-sv-per-007858,mx-sv-doc-002830,otorgante
mx-sv-per-007859,mx-sv-doc-002830,dueño anterior
mx-sv-per-008241,mx-sv-doc-002954,Vendedor
mx-sv-per-008243,mx-sv-doc-002954,comprador
mx-sv-per-001917,mx-sv-doc-000579,Vendedor
mx-sv-per-001918,mx-sv-doc-000579,comprador
mx-sv-per-001934,mx-sv-doc-000579,intermediario
mx-sv-per-004114,mx-sv-doc-002888,comprador
mx-sv-per-008051,mx-sv-doc-002888,otorgante
mx-sv-per-007747,mx-sv-doc-002888,Apoderado
mx-sv-per-008052,mx-sv-doc-002888,dueño anterior
mx-sv-per-007739,mx-sv-doc-002885,otorgante
mx-sv-per-007739,mx-sv-doc-002885,Apoderado
mx-sv-per-004114,mx-sv-doc-002885,dueño anterior
mx-sv-per-008412,mx-sv-doc-003187,Dueño Difunto
mx-sv-per-008687,mx-sv-doc-003187,Albacea
mx-sv-per-008565,mx-sv-doc-003187,comprador
mx-sv-per-001169,mx-sv-doc-003208,Vendedor
mx-sv-per-008243,mx-sv-doc-003208,comprador
mx-sv-per-008724,mx-sv-doc-003208,Escribano
mx-sv-per-008752,mx-sv-doc-003230,Vendedor
mx-sv-per-008700,mx-sv-doc-003230,comprador
mx-sv-per-008684,mx-sv-doc-003186,Vendedor
mx-sv-per-008685,mx-sv-doc-003186,comprador
mx-sv-per-008748,mx-sv-doc-003232,Vendedor
mx-sv-per-008756,mx-sv-doc-003232,comprador
mx-sv-per-008725,mx-sv-doc-003209,Escribano
mx-sv-per-008243,mx-sv-doc-003209,Antiguo Propietario
mx-sv-per-001169,mx-sv-doc-003209,Propietario
mx-sv-per-008517,mx-sv-doc-003188,Vendedor
mx-sv-per-008689,mx-sv-doc-003188,comprador
mx-sv-per-008659,mx-sv-doc-003190,Vendedor
mx-sv-per-008695,mx-sv-doc-003190,comprador
mx-sv-per-007504,mx-sv-doc-003233,Dueño Difunto
mx-sv-per-008759,mx-sv-doc-003233,intermediario
mx-sv-per-008760,mx-sv-doc-003233,comprador
mx-sv-per-008754,mx-sv-doc-003231,Vendedor
mx-sv-per-008684,mx-sv-doc-003231,comprador
mx-sv-per-008691,mx-sv-doc-003189,Dueño
mx-sv-per-008692,mx-sv-doc-003189,intermediario
mx-sv-per-008693,mx-sv-doc-003189,comprador
mx-sv-per-008697,mx-sv-doc-003191,Dueño Difunto
mx-sv-per-008318,mx-sv-doc-003191,Albacea
mx-sv-per-008698,mx-sv-doc-003191,comprador
mx-sv-per-005323,mx-sv-doc-002264,dueño anterior
mx-sv-per-005324,mx-sv-doc-002264,intermediario
mx-sv-per-005325,mx-sv-doc-002264,Testigo
mx-sv-per-005326,mx-sv-doc-002264,Testigo
mx-sv-per-005327,mx-sv-doc-002264,Testigo
mx-sv-per-008700,mx-sv-doc-003192,Vendedor
mx-sv-per-008521,mx-sv-doc-003192,comprador
mx-sv-per-008252,mx-sv-doc-002960,Vendedor
mx-sv-per-008253,mx-sv-doc-002960,comprador
mx-sv-per-008311,mx-sv-doc-003235,Vendedor
mx-sv-per-007067,mx-sv-doc-003235,comprador
mx-sv-per-008662,mx-sv-doc-003194,Vendedor
mx-sv-per-008702,mx-sv-doc-003194,comprador
mx-sv-per-008759,mx-sv-doc-003234,Vendedor
mx-sv-per-008762,mx-sv-doc-003234,comprador
mx-sv-per-008256,mx-sv-doc-002961,Vendedor
mx-sv-per-008257,mx-sv-doc-002961,comprador
mx-sv-per-008555,mx-sv-doc-003107,Vendedor
mx-sv-per-008556,mx-sv-doc-003107,comprador
mx-sv-per-008765,mx-sv-doc-003236,Vendedor
mx-sv-per-008766,mx-sv-doc-003236,comprador
mx-sv-per-008740,mx-sv-doc-003218,dueño anterior
mx-sv-per-007491,mx-sv-doc-002962,Vendedor
mx-sv-per-007474,mx-sv-doc-002962,intermediario
mx-sv-per-008259,mx-sv-doc-002962,comprador
mx-sv-per-008558,mx-sv-doc-003108,Vendedor
mx-sv-per-003454,mx-sv-doc-003108,intermediario
mx-sv-per-008559,mx-sv-doc-003108,comprador
mx-sv-per-007468,mx-sv-doc-003237,Vendedor
mx-sv-per-008559,mx-sv-doc-003237,comprador
mx-sv-per-008261,mx-sv-doc-002963,Vendedor
mx-sv-per-008262,mx-sv-doc-002963,intermediario
mx-sv-per-007067,mx-sv-doc-002963,comprador
mx-sv-per-008521,mx-sv-doc-003109,Vendedor
mx-sv-per-008561,mx-sv-doc-003109,comprador
mx-sv-per-008748,mx-sv-doc-003238,Vendedor
mx-sv-per-008517,mx-sv-doc-003238,comprador
mx-sv-per-000012,mx-sv-doc-000001,otorgante
mx-sv-per-000013,mx-sv-doc-000001,comprador
mx-sv-per-000014,mx-sv-doc-000001,dueño anterior
mx-sv-per-000002,mx-sv-doc-000002,otorgante
mx-sv-per-000003,mx-sv-doc-000002,comprador
mx-sv-per-000111,mx-sv-doc-000003,otorgante
mx-sv-per-000111,mx-sv-doc-000003,Receptor Del Poder
mx-sv-per-000112,mx-sv-doc-000003,comprador
mx-sv-per-000113,mx-sv-doc-000003,dueño anterior
mx-sv-per-000625,mx-sv-doc-000003,dueño anterior
mx-sv-per-005788,mx-sv-doc-002345,Vendedor
mx-sv-per-005789,mx-sv-doc-002345,comprador
mx-sv-per-008264,mx-sv-doc-002964,Vendedor
mx-sv-per-003454,mx-sv-doc-002964,intermediario
mx-sv-per-008220,mx-sv-doc-002964,comprador
mx-sv-per-008535,mx-sv-doc-003110,Vendedor
mx-sv-per-008562,mx-sv-doc-003110,comprador
mx-sv-per-000009,mx-sv-doc-000004,otorgante
mx-sv-per-000010,mx-sv-doc-000004,comprador
mx-sv-per-000011,mx-sv-doc-000004,dueño anterior
mx-sv-per-000019,mx-sv-doc-000005,otorgante
mx-sv-per-000019,mx-sv-doc-000005,dueño del esclavizado
mx-sv-per-000020,mx-sv-doc-000005,intermediario
mx-sv-per-000021,mx-sv-doc-000005,dueño anterior
mx-sv-per-000023,mx-sv-doc-000006,otorgante
mx-sv-per-000024,mx-sv-doc-000006,comprador
mx-sv-per-000413,mx-sv-doc-000007,otorgante
mx-sv-per-000414,mx-sv-doc-000007,comprador
mx-sv-per-000415,mx-sv-doc-000007,dueño anterior
mx-sv-per-000033,mx-sv-doc-000009,otorgante
mx-sv-per-000034,mx-sv-doc-000009,comprador
mx-sv-per-000035,mx-sv-doc-000009,dueño anterior
mx-sv-per-000038,mx-sv-doc-000010,otorgante
mx-sv-per-000038,mx-sv-doc-000010,Receptor Del Poder
mx-sv-per-000039,mx-sv-doc-000010,comprador
mx-sv-per-000040,mx-sv-doc-000010,dueño anterior
mx-sv-per-000042,mx-sv-doc-000011,otorgante
mx-sv-per-000042,mx-sv-doc-000011,intermediario
mx-sv-per-000043,mx-sv-doc-000011,comprador
mx-sv-per-000044,mx-sv-doc-000011,dueño del esclavizado
mx-sv-per-000045,mx-sv-doc-000011,dueño anterior
mx-sv-per-000051,mx-sv-doc-000012,comprador
mx-sv-per-000052,mx-sv-doc-000012,otorgante
mx-sv-per-000053,mx-sv-doc-000012,Fiador
mx-sv-per-000055,mx-sv-doc-000013,otorgante
mx-sv-per-000055,mx-sv-doc-000013,Receptor Del Poder
mx-sv-per-000056,mx-sv-doc-000013,comprador
mx-sv-per-000057,mx-sv-doc-000013,Otorgante Del Poder
mx-sv-per-000058,mx-sv-doc-000013,dueño anterior
mx-sv-per-000063,mx-sv-doc-000014,comprador
mx-sv-per-000064,mx-sv-doc-000014,otorgante
mx-sv-per-000065,mx-sv-doc-000014,Fiador
mx-sv-per-006193,mx-sv-doc-002965,Dueño Difunto
mx-sv-per-008267,mx-sv-doc-002965,Albacea
mx-sv-per-008176,mx-sv-doc-002965,comprador
mx-sv-per-008535,mx-sv-doc-003111,Vendedor
mx-sv-per-008521,mx-sv-doc-003111,comprador
mx-sv-per-000068,mx-sv-doc-000015,otorgante
mx-sv-per-000068,mx-sv-doc-000015,Receptor Del Poder
mx-sv-per-000069,mx-sv-doc-000015,comprador
mx-sv-per-000070,mx-sv-doc-000015,Otorgante Del Poder
mx-sv-per-000073,mx-sv-doc-000016,otorgante
mx-sv-per-000074,mx-sv-doc-000016,comprador
mx-sv-per-000075,mx-sv-doc-000016,dueño anterior
mx-sv-per-000076,mx-sv-doc-000016,comprador
mx-sv-per-000604,mx-sv-doc-000017,comprador
mx-sv-per-000081,mx-sv-doc-000017,dueño anterior
mx-sv-per-000080,mx-sv-doc-000017,otorgante
mx-sv-per-000083,mx-sv-doc-000018,otorgante
mx-sv-per-000084,mx-sv-doc-000018,comprador
mx-sv-per-000085,mx-sv-doc-000018,dueño anterior
mx-sv-per-000087,mx-sv-doc-000019,otorgante
mx-sv-per-000088,mx-sv-doc-000019,comprador
mx-sv-per-000089,mx-sv-doc-000019,dueño anterior
mx-sv-per-000090,mx-sv-doc-000020,otorgante
mx-sv-per-000092,mx-sv-doc-000020,comprador
mx-sv-per-000093,mx-sv-doc-000020,dueño anterior
mx-sv-per-000094,mx-sv-doc-000020,dueño anterior
mx-sv-per-000096,mx-sv-doc-000021,otorgante
mx-sv-per-000096,mx-sv-doc-000021,Receptor Del Poder
mx-sv-per-000097,mx-sv-doc-000021,comprador
mx-sv-per-000098,mx-sv-doc-000021,dueño anterior
mx-sv-per-000100,mx-sv-doc-000022,otorgante
mx-sv-per-000101,mx-sv-doc-000022,comprador
mx-sv-per-000102,mx-sv-doc-000022,dueño anterior
mx-sv-per-000104,mx-sv-doc-000023,otorgante
mx-sv-per-000105,mx-sv-doc-000023,comprador
mx-sv-per-000106,mx-sv-doc-000023,dueño anterior
mx-sv-per-000108,mx-sv-doc-000024,otorgante
mx-sv-per-000109,mx-sv-doc-000024,comprador
mx-sv-per-000110,mx-sv-doc-000024,dueño anterior
mx-sv-per-000115,mx-sv-doc-000025,otorgante
mx-sv-per-000116,mx-sv-doc-000025,comprador
mx-sv-per-000117,mx-sv-doc-000025,dueño anterior
mx-sv-per-000118,mx-sv-doc-000025,dueño anterior
mx-sv-per-008196,mx-sv-doc-002966,Vendedor
mx-sv-per-008268,mx-sv-doc-002966,comprador
mx-sv-per-008565,mx-sv-doc-003112,Vendedor
mx-sv-per-008566,mx-sv-doc-003112,Vendedor
mx-sv-per-008567,mx-sv-doc-003112,comprador
mx-sv-per-000217,mx-sv-doc-000026,otorgante
mx-sv-per-000218,mx-sv-doc-000026,comprador
mx-sv-per-000219,mx-sv-doc-000026,dueño anterior
mx-sv-per-007056,mx-sv-doc-002967,Vendedor
mx-sv-per-008519,mx-sv-doc-003113,Dueño Difunto
mx-sv-per-008520,mx-sv-doc-003113,Albacea
mx-sv-per-008569,mx-sv-doc-003113,comprador
mx-sv-per-008270,mx-sv-doc-002968,Vendedor
mx-sv-per-008271,mx-sv-doc-002968,comprador
mx-sv-per-008572,mx-sv-doc-003114,Dueño Difunto
mx-sv-per-008573,mx-sv-doc-003114,Albacea
mx-sv-per-008574,mx-sv-doc-003114,comprador
