persona_idno,persona_x_lugares_id,documento_idno,lugar_id,situacion_lugar,ordinal
mx-sv-per-000001,1,mx-sv-doc-000001,2,,-2
mx-sv-per-000045,2,mx-sv-doc-000001,2,,1
mx-sv-per-000014,3,mx-sv-doc-000001,2,,1
mx-sv-per-000012,13,mx-sv-doc-000001,3,vecino,1
mx-sv-per-000001,14,mx-sv-doc-000001,7,,1
mx-sv-per-000013,16,mx-sv-doc-000001,3,vecino,1
mx-sv-per-000001,120,mx-sv-doc-000001,2,,-1
mx-sv-per-000001,121,mx-sv-doc-000001,2,,-1
mx-sv-per-000001,213,mx-sv-doc-000001,3,,-1
mx-sv-per-000002,5,mx-sv-doc-000002,3,vecino,1
mx-sv-per-000015,18,mx-sv-doc-000002,3,vecino,1
mx-sv-per-000015,19,mx-sv-doc-000002,3,,1
mx-sv-per-000003,20,mx-sv-doc-000002,3,vecino,1
mx-sv-per-000016,22,mx-sv-doc-000002,3,vecino,1
mx-sv-per-000016,23,mx-sv-doc-000002,3,,1
mx-sv-per-000017,24,mx-sv-doc-000002,3,vecino,1
mx-sv-per-000015,214,mx-sv-doc-000002,3,,-1
mx-sv-per-000016,215,mx-sv-doc-000002,3,,-1
mx-sv-per-000111,113,mx-sv-doc-000003,3,Vecindad,1
mx-sv-per-000112,114,mx-sv-doc-000003,3,vecino,1
mx-sv-per-000005,658,mx-sv-doc-000003,74,,-1
mx-sv-per-000005,659,mx-sv-doc-000003,3,,1
mx-sv-per-000006,660,mx-sv-doc-000003,74,,-1
mx-sv-per-000006,661,mx-sv-doc-000003,3,,1
mx-sv-per-000625,662,mx-sv-doc-000003,74,,1
mx-sv-per-000007,9,mx-sv-doc-000004,5,,-1
mx-sv-per-000007,10,mx-sv-doc-000004,3,vecino,1
mx-sv-per-000009,11,mx-sv-doc-000004,3,vecino,1
mx-sv-per-000010,12,mx-sv-doc-000004,6,vecino,1
mx-sv-per-000018,27,mx-sv-doc-000005,9,,1
mx-sv-per-000020,29,mx-sv-doc-000005,3,Residencia,1
mx-sv-per-000021,30,mx-sv-doc-000005,8,Vecindad,1
mx-sv-per-000018,216,mx-sv-doc-000005,3,,-1
mx-sv-per-000019,217,mx-sv-doc-000005,3,,1
mx-sv-per-000018,218,mx-sv-doc-000005,8,,-2
mx-sv-per-000022,31,mx-sv-doc-000006,2,lugar anterior 1,-1
mx-sv-per-000022,32,mx-sv-doc-000006,3,,1
mx-sv-per-000023,33,mx-sv-doc-000006,2,vecino,1
mx-sv-per-000024,34,mx-sv-doc-000006,3,vecino,1
mx-sv-per-000025,35,mx-sv-doc-000007,2,,-1
mx-sv-per-000025,36,mx-sv-doc-000007,3,,1
mx-sv-per-000413,404,mx-sv-doc-000007,3,Vecindad,1
mx-sv-per-000414,405,mx-sv-doc-000007,3,Vecindad,1
mx-sv-per-000415,406,mx-sv-doc-000007,2,Residencia,1
mx-sv-per-000027,37,mx-sv-doc-000008,2,lugar anterior 1,-1
mx-sv-per-000028,37,mx-sv-doc-000008,2,lugar anterior 1,-1
mx-sv-per-000027,38,mx-sv-doc-000008,3,,1
mx-sv-per-000028,38,mx-sv-doc-000008,3,,1
mx-sv-per-000030,39,mx-sv-doc-000008,3,vecino,1
mx-sv-per-000031,40,mx-sv-doc-000008,2,Residencia,1
mx-sv-per-000032,41,mx-sv-doc-000009,10,lugar anterior 1,-1
mx-sv-per-000032,42,mx-sv-doc-000009,3,,1
mx-sv-per-000033,43,mx-sv-doc-000009,11,,1
mx-sv-per-000034,44,mx-sv-doc-000009,12,,1
mx-sv-per-000035,45,mx-sv-doc-000009,10,,1
mx-sv-per-000036,46,mx-sv-doc-000010,3,lugar anterior 1,1
mx-sv-per-000036,47,mx-sv-doc-000010,3,,1
mx-sv-per-000036,48,mx-sv-doc-000010,3,,1
mx-sv-per-000036,49,mx-sv-doc-000010,3,lugar anterior 1,-1
mx-sv-per-000038,50,mx-sv-doc-000010,3,vecino,1
mx-sv-per-000039,51,mx-sv-doc-000010,3,,1
mx-sv-per-000040,52,mx-sv-doc-000010,3,Vecindad,1
mx-sv-per-000041,53,mx-sv-doc-000011,2,lugar anterior 1,-1
mx-sv-per-000041,54,mx-sv-doc-000011,3,,1
mx-sv-per-000042,55,mx-sv-doc-000011,3,vecino,1
mx-sv-per-000043,56,mx-sv-doc-000011,3,vecino,1
mx-sv-per-000044,57,mx-sv-doc-000011,2,Residente,1
mx-sv-per-000045,58,mx-sv-doc-000011,2,,1
mx-sv-per-000050,59,mx-sv-doc-000012,2,lugar anterior 1,-1
mx-sv-per-000050,60,mx-sv-doc-000012,3,Vecindad,1
mx-sv-per-000051,61,mx-sv-doc-000012,3,vecino,1
mx-sv-per-000052,62,mx-sv-doc-000012,3,vecino,1
mx-sv-per-000053,63,mx-sv-doc-000012,3,vecino,1
mx-sv-per-000054,64,mx-sv-doc-000013,2,lugar anterior 1,-1
mx-sv-per-000054,65,mx-sv-doc-000013,3,Vecindad,1
mx-sv-per-000055,66,mx-sv-doc-000013,3,vecino,1
mx-sv-per-000056,67,mx-sv-doc-000013,3,vecino,1
mx-sv-per-000057,68,mx-sv-doc-000013,2,Residente,1
mx-sv-per-000058,69,mx-sv-doc-000013,2,,1
mx-sv-per-000062,70,mx-sv-doc-000014,2,lugar anterior 1,-1
mx-sv-per-000062,71,mx-sv-doc-000014,3,Vecindad,1
mx-sv-per-000063,72,mx-sv-doc-000014,3,vecino,1
mx-sv-per-000064,73,mx-sv-doc-000014,3,vecino,1
mx-sv-per-000066,74,mx-sv-doc-000015,3,Residencia,1
mx-sv-per-000068,75,mx-sv-doc-000015,3,vecino,1
mx-sv-per-000070,76,mx-sv-doc-000015,3,Residente,1
mx-sv-per-000072,77,mx-sv-doc-000016,2,lugar anterior 1,-1
mx-sv-per-000071,77,mx-sv-doc-000016,2,lugar anterior 1,-1
mx-sv-per-000073,79,mx-sv-doc-000016,3,Residente,1
mx-sv-per-000074,80,mx-sv-doc-000016,3,vecino,1
mx-sv-per-000075,81,mx-sv-doc-000016,2,vecino,1
mx-sv-per-000074,504,mx-sv-doc-000016,3,Vecindad,1
mx-sv-per-000078,82,mx-sv-doc-000017,2,lugar anterior 1,-1
mx-sv-per-000078,83,mx-sv-doc-000017,3,Vecindad,1
mx-sv-per-000080,85,mx-sv-doc-000017,3,vecino,1
mx-sv-per-000081,86,mx-sv-doc-000017,2,,1
mx-sv-per-000604,634,mx-sv-doc-000017,13,Vecindad,1
mx-sv-per-000082,87,mx-sv-doc-000018,14,,1
mx-sv-per-000082,88,mx-sv-doc-000018,3,,1
mx-sv-per-000083,89,mx-sv-doc-000018,3,,1
mx-sv-per-000084,90,mx-sv-doc-000018,14,,-1
mx-sv-per-000085,91,mx-sv-doc-000018,3,,1
mx-sv-per-000086,92,mx-sv-doc-000019,3,,1
mx-sv-per-000087,93,mx-sv-doc-000019,3,vecino,1
mx-sv-per-000089,94,mx-sv-doc-000019,3,vecino,1
mx-sv-per-000090,95,mx-sv-doc-000020,15,,-1
mx-sv-per-000090,96,mx-sv-doc-000020,3,,1
mx-sv-per-000092,97,mx-sv-doc-000020,3,vecino,1
mx-sv-per-000095,98,mx-sv-doc-000021,3,Vecindad,1
mx-sv-per-000096,99,mx-sv-doc-000021,3,vecino,1
mx-sv-per-000097,100,mx-sv-doc-000021,13,vecino,1
mx-sv-per-000099,101,mx-sv-doc-000022,16,,1
mx-sv-per-000099,102,mx-sv-doc-000022,17,lugar anterior 1,-1
mx-sv-per-000100,103,mx-sv-doc-000022,16,,1
mx-sv-per-000101,104,mx-sv-doc-000022,3,Vecindad,1
mx-sv-per-000103,105,mx-sv-doc-000023,3,Residencia,1
mx-sv-per-000103,106,mx-sv-doc-000023,19,lugar anterior 1,-1
mx-sv-per-000104,107,mx-sv-doc-000023,3,Residente,1
mx-sv-per-000106,108,mx-sv-doc-000023,19,,1
